height,weight,rank
157,74,4th
157,110,4th
185,108,3rd
165,50,3rd
206,72,4th
158,96,4th
182,68,1st
135,95,6th
179,100,3rd
158,82,4th
190,99,2nd
173,85,2nd
200,60,4th
198,105,2nd
195,53,4th
193,61,3rd
153,98,4th
194,92,1st
196,63,3rd
200,87,1st
167,85,3rd
189,58,3rd
172,94,3rd
149,71,4th
203,74,3rd
151,72,4th
159,103,4th
151,90,4th
159,81,3rd
177,85,2nd
184,55,3rd
171,48,3rd
156,73,4th
149,47,4th
140,108,6th
184,72,1st
147,48,4th
153,52,4th
185,96,2nd
166,65,1st
197,81,1st
205,61,4th
187,48,4th
186,87,2nd
154,52,4th
197,103,2nd
199,100,2nd
183,100,2nd
159,62,1st
159,56,1st
191,53,4th
206,48,4th
139,62,6th
200,81,1st
144,82,5th
187,60,3rd
163,80,3rd
153,74,4th
151,45,4th
190,100,2nd
144,93,5th
147,91,4th
172,49,3rd
181,104,3rd
182,49,4th
137,94,6th
203,52,4th
145,45,5th
151,101,4th
203,72,3rd
139,104,6th
168,96,3rd
141,98,5th
205,78,4th
198,105,2nd
187,91,2nd
200,46,4th
196,46,4th
166,67,1st
171,47,3rd
169,80,2nd
176,50,3rd
146,52,4th
193,73,2nd
143,95,5th
188,76,1st
179,71,1st
181,62,2nd
153,53,4th
195,103,2nd
153,81,4th
140,108,6th
196,77,1st
152,75,4th
137,80,6th
198,77,2nd
199,109,2nd
181,80,1st
184,89,2nd
137,59,6th
173,64,1st
206,69,4th
161,88,3rd
154,94,4th
200,75,2nd
157,94,4th
198,72,3rd
178,63,2nd
165,105,4th
152,103,4th
142,105,5th
181,66,1st
183,108,3rd
201,70,3rd
167,109,4th
202,94,1st
165,88,3rd
197,48,4th
139,99,6th
167,71,2nd
173,60,1st
167,56,1st
183,62,2nd
165,60,1st
137,80,6th
166,64,1st
152,110,4th
149,58,4th
158,81,4th
146,53,4th
201,91,1st
199,79,2nd
201,55,4th
205,78,4th
143,46,5th
176,81,2nd
205,107,4th
171,76,2nd
180,72,1st
186,92,2nd
167,78,2nd
166,63,1st
163,59,1st
179,57,3rd
200,66,3rd
145,57,5th
184,109,3rd
172,91,3rd
168,88,3rd
148,83,4th
141,86,5th
172,48,3rd
177,56,3rd
181,57,3rd
182,72,1st
172,87,2nd
163,103,4th
167,88,3rd
172,88,2nd
147,49,4th
137,72,6th
169,65,1st
206,109,4th
191,70,2nd
192,74,1st
142,62,5th
194,69,3rd
170,59,1st
185,96,2nd
142,89,5th
174,75,1st
173,72,1st
173,51,3rd
192,86,1st
188,97,2nd
159,69,2nd
187,94,2nd
142,81,5th
176,109,4th
173,77,2nd
193,53,4th
156,76,4th
146,109,4th
182,85,2nd
205,69,4th
161,95,4th
155,59,4th
199,77,2nd
147,78,4th
173,48,3rd
144,108,5th
196,55,4th
186,52,4th
157,91,4th
151,62,4th
174,73,1st
180,99,3rd
198,94,1st
199,65,3rd
180,78,1st
180,77,1st
157,84,4th
176,82,2nd
143,75,5th
201,47,4th
148,107,4th
153,92,4th
193,78,1st
182,59,3rd
156,79,4th
169,87,3rd
158,56,4th
145,48,5th
190,65,3rd
174,45,4th
157,55,4th
200,105,2nd
194,106,2nd
158,54,4th
167,82,2nd
154,104,4th
171,83,2nd
205,52,4th
195,84,1st
180,77,1st
164,72,2nd
173,95,3rd
161,103,4th
195,45,4th
153,72,4th
179,95,2nd
204,86,4th
171,68,1st
165,52,2nd
162,69,2nd
150,54,4th
140,49,6th
196,60,4th
144,65,5th
200,61,4th
152,106,4th
175,92,3rd
197,108,2nd
196,66,3rd
206,69,4th
146,74,4th
187,88,2nd
169,57,2nd
183,51,4th
135,63,6th
188,77,1st
169,64,1st
179,109,3rd
195,77,1st
185,89,2nd
167,61,1st
157,49,4th
166,84,3rd
159,80,3rd
186,91,2nd
204,99,4th
188,67,2nd
197,75,2nd
153,57,4th
202,109,2nd
147,67,4th
195,81,1st
147,85,4th
184,96,2nd
145,68,5th
181,96,2nd
158,50,4th
158,61,4th
196,77,1st
179,47,4th
139,86,6th
195,76,2nd
149,66,4th
160,63,1st
174,105,3rd
136,47,6th
161,61,1st
141,89,5th
174,99,3rd
168,67,1st
143,77,5th
150,108,4th
144,51,5th
175,70,1st
149,58,4th
174,64,1st
191,105,2nd
166,78,2nd
199,45,4th
141,67,5th
170,107,4th
180,52,3rd
193,73,2nd
156,60,4th
155,103,4th
190,72,2nd
159,99,4th
204,59,4th
176,45,4th
162,76,2nd
188,102,2nd
176,77,1st
173,90,3rd
146,88,4th
178,80,2nd
139,75,6th
183,77,1st
161,85,3rd
177,98,3rd
201,87,1st
138,48,6th
137,69,6th
192,54,4th
163,87,3rd
146,94,4th
206,106,4th
201,86,1st
198,77,2nd
194,70,2nd
206,110,4th
200,89,1st
171,60,1st
142,97,5th
184,48,4th
179,102,3rd
197,45,4th
177,78,1st
146,88,4th
179,108,3rd
185,80,1st
178,102,3rd
179,62,2nd
144,76,5th
196,46,4th
199,107,2nd
185,108,3rd
178,78,1st
151,70,4th
182,60,3rd
156,103,4th
184,103,3rd
184,76,1st
193,63,3rd
192,62,3rd
173,66,1st
182,109,3rd
186,83,1st
170,83,2nd
145,99,5th
170,93,3rd
192,53,4th
152,69,4th
170,110,4th
187,102,2nd
158,45,4th
185,100,2nd
156,70,4th
195,81,1st
154,86,4th
194,89,1st
142,58,5th
149,86,4th
137,49,6th
204,110,4th
167,106,4th
136,68,6th
181,106,3rd
182,92,2nd
165,64,1st
145,67,5th
192,91,1st
150,82,4th
141,86,5th
171,78,2nd
138,80,6th
204,56,4th
164,109,4th
142,74,5th
160,107,4th
197,69,3rd
171,93,3rd
152,57,4th
149,90,4th
149,91,4th
138,48,6th
195,55,4th
205,70,4th
146,70,4th
161,94,4th
158,103,4th
156,84,4th
152,76,4th
202,58,4th
157,74,4th
178,93,2nd
206,59,4th
160,73,2nd
205,82,4th
192,81,1st
165,106,4th
136,67,6th
184,109,3rd
152,54,4th
183,75,1st
193,93,1st
175,101,3rd
149,77,4th
142,74,5th
140,58,6th
151,52,4th
146,100,4th
194,109,2nd
161,68,2nd
163,51,2nd
181,79,1st
157,54,4th
157,76,4th
184,80,1st
146,64,4th
206,51,4th
186,91,2nd
165,49,3rd
142,75,5th
144,92,5th
191,90,1st
155,109,4th
136,63,6th
195,49,4th
155,60,4th
200,106,2nd
181,64,2nd
158,69,4th
155,105,4th
146,77,4th
150,72,4th
197,68,3rd
145,47,5th
155,58,4th
153,91,4th
194,97,2nd
162,62,1st
147,58,4th
204,88,4th
169,59,1st
185,72,1st
168,104,4th
167,67,1st
152,86,4th
167,100,4th
138,83,6th
198,84,1st
196,74,2nd
170,74,2nd
150,71,4th
157,54,4th
162,85,3rd
189,74,1st
189,96,2nd
145,57,5th
155,88,4th
174,81,2nd
156,105,4th
136,93,6th
150,63,4th
204,106,4th
201,108,2nd
198,107,2nd
168,65,1st
149,100,4th
200,110,2nd
163,108,4th
152,79,4th
179,56,3rd
142,85,5th
173,90,3rd
188,69,2nd
166,71,2nd
151,90,4th
147,54,4th
196,53,4th
180,93,2nd
144,107,5th
206,98,4th
173,56,2nd
144,70,5th
149,63,4th
190,90,1st
204,106,4th
140,69,6th
140,49,6th
168,55,2nd
138,46,6th
175,71,1st
174,49,3rd
152,100,4th
194,82,1st
196,69,3rd
172,79,2nd
166,75,2nd
159,94,4th
180,69,1st
139,64,6th
138,93,6th
201,71,3rd
169,71,1st
164,70,2nd
139,52,6th
151,105,4th
197,68,3rd
199,98,1st
173,55,3rd
182,46,4th
204,62,4th
185,102,2nd
181,57,3rd
158,90,4th
163,85,3rd
157,110,4th
141,103,5th
179,110,3rd
171,59,1st
142,70,5th
139,64,6th
155,54,4th
175,80,2nd
206,71,4th
202,50,4th
165,91,3rd
141,91,5th
146,67,4th
138,49,6th
162,88,3rd
183,74,1st
180,68,1st
186,71,1st
196,88,1st
199,46,4th
158,108,4th
180,91,2nd
149,81,4th
193,105,2nd
173,68,1st
176,95,3rd
146,68,4th
139,56,6th
157,47,4th
152,69,4th
194,84,1st
193,89,1st
167,87,3rd
200,101,2nd
205,106,4th
151,87,4th
182,107,3rd
139,81,6th
199,104,2nd
159,109,4th
184,55,3rd
153,78,4th
159,67,2nd
138,76,6th
154,60,4th
169,106,4th
182,93,2nd
145,46,5th
196,108,2nd
191,92,2nd
147,99,4th
197,101,2nd
201,87,1st
149,96,4th
138,75,6th
186,69,2nd
186,74,1st
200,106,2nd
172,48,3rd
191,56,4th
166,101,4th
165,102,4th
159,45,3rd
173,72,1st
181,79,1st
185,92,2nd
202,54,4th
203,58,4th
170,107,4th
198,74,2nd
165,94,3rd
135,46,6th
135,101,6th
150,108,4th
162,71,2nd
200,53,4th
205,94,4th
149,110,4th
188,107,3rd
183,68,1st
189,91,2nd
149,46,4th
162,51,2nd
196,97,2nd
145,50,5th
182,76,1st
178,74,1st
147,108,4th
203,82,2nd
154,109,4th
156,61,4th
142,75,5th
182,51,4th
153,109,4th
149,78,4th
156,83,4th
193,106,2nd
138,102,6th
178,77,1st
196,77,1st
165,102,4th
181,101,3rd
192,93,2nd
185,61,3rd
175,69,1st
152,65,4th
193,51,4th
197,109,2nd
196,73,2nd
164,99,4th
177,63,1st
179,85,2nd
138,73,6th
203,103,1st
195,80,1st
136,84,6th
178,54,3rd
171,109,4th
145,54,5th
170,49,3rd
181,85,2nd
185,80,1st
203,76,3rd
142,69,5th
136,97,6th
204,86,4th
162,88,3rd
162,68,2nd
165,93,3rd
153,102,4th
173,84,2nd
183,99,2nd
203,89,1st
186,103,2nd
206,110,4th
154,58,4th
163,56,1st
173,61,1st
165,97,4th
202,89,1st
141,72,5th
159,105,4th
192,76,1st
197,105,2nd
192,47,4th
180,56,3rd
153,83,4th
191,101,2nd
137,50,6th
196,75,2nd
158,48,4th
186,65,2nd
206,105,4th
181,57,3rd
180,69,1st
161,102,4th
161,55,1st
136,101,6th
172,56,2nd
151,106,4th
172,77,2nd
147,82,4th
163,50,2nd
160,51,2nd
188,70,2nd
194,58,4th
170,88,3rd
177,79,2nd
158,70,4th
135,56,6th
158,78,4th
140,48,6th
140,88,6th
198,97,1st
137,66,6th
157,88,4th
166,48,3rd
170,49,3rd
138,83,6th
188,107,3rd
172,91,3rd
173,62,1st
175,48,4th
164,60,1st
137,92,6th
199,89,1st
169,96,3rd
181,67,1st
181,99,3rd
146,101,4th
151,84,4th
194,89,1st
185,58,3rd
163,106,4th
188,89,2nd
184,91,2nd
145,104,5th
163,72,2nd
172,48,3rd
164,104,4th
157,59,4th
188,79,1st
136,51,6th
177,49,4th
186,100,2nd
163,62,1st
202,91,1st
142,89,5th
180,63,2nd
145,102,5th
147,101,4th
148,91,4th
154,66,4th
205,65,4th
153,57,4th
183,90,2nd
204,50,4th
177,109,3rd
185,64,2nd
205,81,4th
182,64,2nd
173,103,3rd
201,91,1st
184,49,4th
181,102,3rd
205,64,4th
191,83,1st
193,85,1st
165,47,3rd
167,61,1st
167,82,2nd
155,55,4th
182,97,2nd
173,82,2nd
198,54,4th
199,101,2nd
174,51,3rd
174,98,3rd
172,66,1st
193,74,2nd
180,59,3rd
150,87,4th
180,80,1st
159,47,2nd
139,54,6th
173,104,3rd
167,85,3rd
199,59,4th
162,51,2nd
201,103,2nd
155,99,4th
189,96,2nd
139,46,6th
197,46,4th
176,79,2nd
168,88,3rd
160,56,1st
143,91,5th
145,53,5th
200,84,1st
205,47,4th
177,84,2nd
135,102,6th
150,66,4th
158,78,4th
166,86,3rd
202,49,4th
166,88,3rd
175,82,2nd
168,78,2nd
190,94,2nd
205,96,4th
163,84,3rd
150,55,4th
159,48,2nd
136,50,6th
156,81,4th
202,105,2nd
195,66,3rd
138,46,6th
189,92,2nd
200,97,1st
179,103,3rd
202,99,1st
204,99,4th
141,99,5th
148,106,4th
169,49,3rd
200,100,2nd
173,47,4th
155,72,4th
187,107,3rd
172,110,4th
206,106,4th
136,79,6th
192,78,1st
140,83,6th
169,110,4th
164,66,1st
140,54,6th
137,49,6th
156,91,4th
206,75,4th
135,59,6th
199,97,1st
151,87,4th
158,74,4th
135,70,6th
182,103,3rd
177,86,2nd
146,74,4th
199,84,1st
168,78,2nd
151,108,4th
176,77,1st
146,65,4th
185,83,1st
150,90,4th
184,110,3rd
163,97,4th
139,67,6th
182,78,1st
187,105,3rd
163,59,1st
191,48,4th
168,99,4th
151,99,4th
167,61,1st
179,81,2nd
161,60,1st
201,75,2nd
156,68,4th
178,58,3rd
149,55,4th
195,88,1st
204,110,4th
139,54,6th
189,110,3rd
159,109,4th
139,96,6th
150,67,4th
174,108,4th
150,96,4th
173,62,1st
146,80,4th
146,64,4th
192,72,2nd
180,103,3rd
187,87,1st
163,63,1st
169,71,1st
140,65,6th
184,102,3rd
157,83,4th
141,103,5th
175,58,2nd
160,105,4th
202,98,1st
200,55,4th
197,99,2nd
206,99,4th
186,103,2nd
202,79,2nd
139,98,6th
167,79,2nd
167,110,4th
171,45,4th
170,61,1st
172,98,3rd
162,98,4th
146,91,4th
155,105,4th
143,78,5th
153,46,4th
186,69,2nd
168,84,2nd
162,47,3rd
151,83,4th
179,65,1st
188,94,2nd
152,109,4th
139,106,6th
178,108,3rd
181,66,1st
139,101,6th
180,46,4th
146,99,4th
191,101,2nd
170,91,3rd
150,78,4th
148,47,4th
184,110,3rd
178,106,3rd
165,52,2nd
169,82,2nd
170,86,2nd
167,94,3rd
178,78,1st
150,86,4th
142,90,5th
171,78,2nd
141,101,5th
157,105,4th
171,104,4th
161,105,4th
193,53,4th
158,69,4th
206,79,4th
151,104,4th
190,97,2nd
191,108,2nd
169,55,2nd
178,82,2nd
148,48,4th
181,62,2nd
152,50,4th
166,108,4th
135,94,6th
151,102,4th
205,81,4th
153,100,4th
167,75,2nd
145,55,5th
191,66,3rd
199,72,3rd
185,101,2nd
155,81,4th
183,58,3rd
138,102,6th
194,70,2nd
205,78,4th
149,93,4th
161,95,4th
165,54,2nd
187,106,3rd
162,85,3rd
156,83,4th
204,55,4th
154,80,4th
199,55,4th
202,76,2nd
188,88,1st
163,50,2nd
141,81,5th
167,50,3rd
159,58,1st
190,50,4th
144,70,5th
204,79,4th
172,92,3rd
181,61,2nd
149,102,4th
163,69,2nd
192,59,3rd
192,50,4th
170,63,1st
183,67,1st
165,59,1st
150,51,4th
192,91,1st
148,63,4th
138,76,6th
187,96,2nd
204,81,4th
158,53,4th
159,75,2nd
162,57,1st
191,74,1st
204,77,4th
161,73,2nd
135,110,6th
196,45,4th
150,83,4th
143,61,5th
190,105,2nd
154,91,4th
199,76,2nd
135,50,6th
166,68,1st
178,82,2nd
157,79,4th
150,104,4th
175,59,2nd
195,68,3rd
204,54,4th
155,58,4th
204,108,4th
199,106,2nd
152,94,4th
151,72,4th
188,85,1st
165,63,1st
141,95,5th
143,83,5th
139,77,6th
148,104,4th
189,46,4th
192,101,2nd
197,83,1st
176,89,2nd
203,84,1st
204,62,4th
173,81,2nd
173,79,2nd
179,76,1st
176,94,3rd
178,66,1st
145,77,5th
194,81,1st
174,101,3rd
172,102,3rd
143,105,5th
173,107,4th
177,91,2nd
194,69,3rd
147,96,4th
191,107,2nd
173,93,3rd
198,59,4th
153,46,4th
190,67,2nd
201,63,4th
172,52,3rd
205,103,4th
180,73,1st
173,62,1st
136,69,6th
174,92,3rd
193,79,1st
149,94,4th
165,60,1st
196,76,2nd
191,76,1st
191,107,2nd
163,62,1st
170,46,4th
164,51,2nd
144,81,5th
172,50,3rd
202,91,1st
160,76,2nd
159,97,4th
146,71,4th
178,46,4th
161,72,2nd
149,68,4th
179,93,2nd
155,58,4th
181,91,2nd
201,57,4th
145,79,5th
196,63,3rd
148,108,4th
146,67,4th
161,67,2nd
164,99,4th
173,89,2nd
156,95,4th
138,110,6th
142,83,5th
176,51,3rd
148,79,4th
203,103,1st
181,49,4th
171,107,4th
199,104,2nd
148,47,4th
175,57,2nd
163,82,3rd
180,88,2nd
145,58,5th
143,102,5th
149,74,4th
161,107,4th
138,71,6th
191,105,2nd
158,109,4th
196,105,2nd
186,76,1st
191,54,4th
200,51,4th
143,56,5th
161,63,1st
165,101,4th
183,55,3rd
135,50,6th
154,106,4th
141,107,5th
184,86,2nd
149,49,4th
186,84,1st
195,67,3rd
187,84,1st
153,88,4th
184,73,1st
145,88,5th
169,59,1st
182,93,2nd
199,63,4th
150,69,4th
143,79,5th
176,86,2nd
173,47,4th
202,48,4th
188,70,2nd
168,87,3rd
196,62,3rd
155,55,4th
161,57,1st
142,103,5th
205,62,4th
139,107,6th
153,95,4th
190,97,2nd
205,65,4th
135,96,6th
139,57,6th
178,72,1st
205,78,4th
206,87,4th
139,110,6th
190,47,4th
195,53,4th
176,53,3rd
135,76,6th
167,107,4th
173,73,1st
199,58,4th
155,109,4th
205,50,4th
189,70,2nd
189,59,3rd
139,101,6th
186,46,4th
138,83,6th
195,54,4th
178,93,2nd
192,73,2nd
158,54,4th
143,78,5th
162,110,4th
140,101,6th
149,77,4th
171,73,1st
166,79,2nd
193,100,2nd
205,74,4th
201,45,4th
150,83,4th
186,94,2nd
187,89,2nd
153,89,4th
157,70,4th
192,100,2nd
150,52,4th
195,90,1st
177,82,2nd
154,56,4th
161,53,1st
148,73,4th
174,71,1st
154,73,4th
171,73,1st
143,108,5th
194,65,3rd
192,48,4th
164,45,3rd
192,90,1st
137,88,6th
138,104,6th
158,110,4th
172,59,2nd
151,63,4th
150,59,4th
173,59,2nd
148,88,4th
176,97,3rd
179,98,3rd
167,99,4th
186,87,2nd
180,71,1st
160,45,3rd
143,94,5th
185,107,3rd
190,101,2nd
138,95,6th
184,107,3rd
188,108,3rd
201,66,3rd
137,68,6th
175,68,1st
169,73,2nd
142,93,5th
196,70,3rd
165,107,4th
154,63,4th
200,81,1st
203,63,4th
167,56,1st
206,101,4th
176,87,2nd
196,106,2nd
172,106,4th
176,77,1st
173,93,3rd
147,53,4th
142,77,5th
165,73,2nd
144,86,5th
194,77,1st
156,74,4th
162,66,2nd
189,51,4th
143,48,5th
199,72,3rd
171,78,2nd
200,78,2nd
158,57,4th
152,77,4th
136,94,6th
151,69,4th
188,94,2nd
168,78,2nd
167,47,3rd
169,103,4th
203,85,1st
151,49,4th
137,50,6th
171,77,2nd
156,58,4th
142,100,5th
156,93,4th
176,100,3rd
151,91,4th
189,83,1st
148,72,4th
190,90,1st
144,76,5th
205,97,4th
166,76,2nd
176,100,3rd
159,108,4th
168,70,1st
205,106,4th
191,66,3rd
152,69,4th
175,96,3rd
198,82,1st
163,46,3rd
148,58,4th
172,80,2nd
142,98,5th
141,71,5th
197,60,4th
137,48,6th
167,80,2nd
179,78,1st
148,56,4th
160,51,2nd
160,79,3rd
147,78,4th
164,106,4th
201,97,1st
160,65,2nd
155,90,4th
139,51,6th
168,50,3rd
204,101,4th
189,59,3rd
180,89,2nd
143,91,5th
154,93,4th
154,77,4th
187,50,4th
179,109,3rd
145,103,5th
162,88,3rd
205,53,4th
180,96,2nd
182,103,3rd
155,84,4th
183,66,2nd
165,90,3rd
170,93,3rd
161,92,4th
196,49,4th
162,105,4th
190,78,1st
150,73,4th
196,48,4th
139,45,6th
153,78,4th
176,58,2nd
191,101,2nd
198,61,4th
147,67,4th
145,49,5th
190,101,2nd
184,60,3rd
203,81,2nd
189,74,1st
186,84,1st
170,86,2nd
161,87,3rd
137,49,6th
181,64,2nd
179,53,3rd
174,68,1st
168,71,2nd
185,76,1st
184,80,1st
194,86,1st
155,66,4th
186,101,2nd
201,109,2nd
196,71,3rd
175,64,1st
152,46,4th
163,84,3rd
170,78,2nd
182,61,3rd
197,93,1st
136,110,6th
155,63,4th
188,49,4th
157,90,4th
205,82,4th
178,96,3rd
203,97,1st
158,93,4th
139,100,6th
146,89,4th
162,82,3rd
174,78,2nd
198,79,1st
170,71,1st
170,79,2nd
179,93,2nd
185,60,3rd
149,106,4th
166,45,3rd
193,60,3rd
145,85,5th
183,86,2nd
154,60,4th
177,69,1st
190,83,1st
184,47,4th
139,61,6th
138,63,6th
203,106,2nd
195,69,3rd
141,91,5th
157,59,4th
194,62,3rd
137,51,6th
177,77,1st
143,84,5th
177,76,1st
183,58,3rd
139,59,6th
191,72,2nd
183,85,2nd
194,81,1st
162,87,3rd
171,80,2nd
158,85,4th
167,81,2nd
181,92,2nd
157,97,4th
196,106,2nd
201,69,3rd
173,54,3rd
150,69,4th
195,84,1st
182,105,3rd
178,66,1st
178,53,3rd
185,110,3rd
172,65,1st
166,101,4th
173,65,1st
169,92,3rd
137,76,6th
135,62,6th
137,62,6th
172,92,3rd
139,45,6th
200,78,2nd
138,48,6th
191,97,2nd
204,67,4th
155,93,4th
145,50,5th
196,58,4th
146,57,4th
177,91,2nd
138,86,6th
177,97,3rd
201,85,1st
150,81,4th
141,64,5th
163,76,2nd
138,98,6th
203,100,1st
153,78,4th
190,101,2nd
182,95,2nd
150,48,4th
199,47,4th
173,50,3rd
185,87,2nd
137,106,6th
146,102,4th
163,104,4th
146,88,4th
169,97,3rd
190,51,4th
187,64,3rd
174,100,3rd
137,96,6th
167,62,1st
177,49,4th
166,61,1st
157,91,4th
140,53,6th
196,100,2nd
152,53,4th
186,82,1st
161,80,3rd
142,87,5th
201,81,1st
199,64,3rd
196,46,4th
199,101,2nd
180,107,3rd
205,93,4th
175,83,2nd
147,103,4th
169,77,2nd
185,48,4th
165,65,1st
190,99,2nd
192,108,2nd
168,91,3rd
187,103,2nd
154,60,4th
179,88,2nd
166,64,1st
203,78,2nd
193,83,1st
149,53,4th
142,60,5th
204,63,4th
159,78,3rd
168,86,3rd
174,81,2nd
206,56,4th
163,45,3rd
195,59,4th
173,87,2nd
188,75,1st
177,88,2nd
172,94,3rd
168,64,1st
168,107,4th
154,70,4th
179,102,3rd
170,61,1st
154,54,4th
174,91,3rd
195,104,2nd
163,69,2nd
171,108,4th
185,81,1st
163,99,4th
192,60,3rd
201,92,1st
189,109,3rd
158,96,4th
174,98,3rd
186,52,4th
175,97,3rd
136,58,6th
140,94,6th
176,53,3rd
170,77,2nd
182,48,4th
199,99,1st
139,100,6th
188,63,3rd
197,101,2nd
137,47,6th
202,85,1st
198,77,2nd
147,106,4th
182,53,3rd
159,85,3rd
145,86,5th
140,73,6th
196,53,4th
138,68,6th
144,102,5th
194,59,4th
198,71,3rd
146,63,4th
173,49,3rd
194,109,2nd
159,59,1st
182,72,1st
140,86,6th
202,47,4th
201,83,1st
191,72,2nd
198,62,4th
137,48,6th
185,109,3rd
194,93,1st
194,83,1st
194,57,4th
191,85,1st
205,45,4th
186,62,3rd
159,68,2nd
198,58,4th
153,69,4th
196,92,1st
163,99,4th
173,97,3rd
159,91,4th
153,102,4th
179,69,1st
152,47,4th
187,51,4th
139,106,6th
182,87,2nd
185,68,2nd
167,87,3rd
188,78,1st
181,99,3rd
186,66,2nd
205,75,4th
145,92,5th
163,69,2nd
191,51,4th
193,93,1st
197,75,2nd
164,50,2nd
137,110,6th
184,95,2nd
143,110,5th
153,50,4th
154,109,4th
141,64,5th
181,82,2nd
168,91,3rd
206,52,4th
160,106,4th
159,92,4th
201,64,4th
160,52,1st
161,86,3rd
174,104,3rd
144,48,5th
153,93,4th
155,46,4th
193,67,3rd
188,109,3rd
198,94,1st
155,59,4th
167,85,3rd
154,53,4th
178,60,2nd
165,58,1st
202,47,4th
184,63,2nd
173,83,2nd
154,51,4th
152,47,4th
192,58,4th
173,64,1st
206,92,4th
143,69,5th
135,62,6th
170,64,1st
181,61,2nd
137,94,6th
205,49,4th
164,101,4th
152,80,4th
146,60,4th
145,70,5th
161,77,2nd
156,89,4th
